publish_date,num_alerts
2021-09-02,273555
2021-09-01,210594
2021-10-07,51348
2021-09-18,79383
2021-11-08,318094
2021-11-12,253413
2021-09-16,284896
2021-11-07,456913
2021-10-04,243205
2021-09-23,225236
2021-09-11,293138
2021-09-03,323820
2021-08-31,57240
2021-08-27,182694
2021-08-28,248875
2021-11-18,67827
2021-09-26,62212
2021-09-15,117361
2021-10-10,147933
2021-10-13,80968
2021-09-28,183477
2021-09-30,326935
2021-11-13,377944
2021-09-07,315357
2021-11-05,341594
2021-11-04,360429
2021-10-02,324549
2021-08-29,128246
2021-09-21,210605
2021-09-14,211593
2021-11-06,341683
2021-11-10,25781
2021-08-30,147924
2021-09-04,260101
2021-09-10,291224
2021-09-12,258686
2021-10-09,419869
2021-09-06,259067
2021-10-03,224007
2021-11-03,347181
2021-09-27,191168
2021-09-20,184975
2021-10-11,215813
2021-09-29,98281
2021-10-01,255764
2021-09-13,283226
2021-10-14,68182
2021-11-14,226845
2021-09-17,232522
2021-11-09,296903
2021-09-05,315782
2021-09-19,246744
2021-09-09,327240
2021-10-15,398661
2021-09-08,237836
2021-11-11,389381
